filename	language	title	author	year	number of words	antagonists	protagonists	characters	relation/interaction (+ positive, - negative, / neutral) 	ambiguous
hansel_and_gretel.txt	english	Hansel and Gretel	Jacob and Wilhelm Grimm	1857	2738	Witch, Mother	Hansel, Gretel	Hansel, Gretel, Witch, Father, Mother	Hansel + Gretel, Hansel - Witch, Gretel - Witch, Hansel - Mother, Gretel - Mother, Father / Mother	
little_red_cap.txt	english	Little Red Cap	Jacob and Wilhelm Grimm	1857	1346	Wolf 1, Wolf 2	Little Red Cap	Little Red Cap, Wolf, Grandmother, Huntsman, Mother	Little Red Cap + Grandmother, Little Red Cap + Mother, Little Red Cap + Huntsman,  Little Red Cap - Wolf 1, Grandmother - Wolf 1, Huntsman - Wolf 1, Grandmother + Huntsman, Little Red Cap - Wolf 2	
rapunzel.txt	english	Rapunzel	Jacob and Wilhelm Grimm	1857	1302	Sorceress	Rapunzel	Rapunzel, Sorceress/Frau Gothel, Prince, Mother/Wife, Father/Husband	Rapunzel - Sorceress, Father - Sorceress, Prince - Sorceress, Mother + Father, Prince + Rapunzel	
the_frog_prince.txt	english	The Frog Prince	Jacob and Wilhelm Grimm	1815	1068	Fairy	Princess	Princess, Frog, Prince, King, Fairy	Princess + King, Princess - Frog, Prince - Fairy, Princess - Prince	1
harry_potter_1.txt	english	Harry Potter 1	J. K. Rowling	1997	78468	Voldemort, Draco	Harry	Harry/Harry Potter, Hermione/Hermione Granger, Ron/Ron Weasley, Hagrid, Albus/Dumbledore/Albus Dumbledore, Voldemort, Draco/ Draco Malfoy,, Neville/ Neville Longbottom, McGonagall, Snape, Quirrel, Vernon/Mr. Dursley/ Uncle Vernom, Petunia/Mrs. Dursley, Dudley, Filch	Harry + Hermione, Harry + Ron, Ron + Hermione, Harry + Hagrid, Harry - Voldemort, Harry - Draco, Harry - Snape, Harry - Vernon, Harry - Petunia, Harry - Dudley, Dudley + Petunia, Dudley + Vernon, Harry + Albus	
little_brier_rose.txt	english	Little Brier-Rose	Jacob and Wilhelm Grimm	1857	1275	Thirteenth	Little Brier-Rose	Little Brier-Rose/Princess, Prince, King, Queen, Wise women, Thirteenth, Frog, Old woman	Princess + Prince, Princess - Thirteenth, King - Thirteenth, Queen - Thirteenth, Wise women + Queen, Wise women + King, Wise women + Princess	
anna_karenina.txt	english	Anna Karenina	Leo Tolstoy	1878	349736	Karenin	Anna Karenina	Anna Arkadyevna Karenina/Anna Karenina/Anna, Alexei Alexandrovich Karenin/Alexei Karenin/Alexei/Karenin, Alexei Kirillovich Vronsky/Alexei Vronsky/Vronsky, Sergei Alexeich Karenin/Seryozha, Konstantin Dmitrich Levin/Dmitrich, Stepan Arkadyich Oblonsky/Stiva	Anna + Vronsky, Anna - Karenin, Karenin - Vronsky, Anna + Sergei, Karenin - Sergei	
snow_white.txt	english	Little Snow-White	Jacob and Wilhelm Grimm	1812	1907	Queen	Snow White	Snow White, Queen, Mirror, seven dwarfs, Huntsman, Prince	Queen - Snow White, Queen / Mirror, Queen - Huntsan, Queen - Prince, Snow White + seven dwarfs, Snow White + Huntsman, Snow White + Prince	
romeo_and_juliet.txt	english	Romeo and Juliet	William Shakespeare	1597	25672	Capulet family, Montague family	Romeo Montague	Romeo/Romeo Montague, Juliet/Juliet Capulet, Lord Capulet, Lady Capulet, Tybalt, Montague Family	Romeo + Juliet, Montague Family - Capulet Family, Montague Family - Juliet, Capulet Family - Romeo, Romeo - Tybalt	
the_lord_of_the_rings.txt	english	The Lord Of The Rings: The Fellowship of the Ring	John Ronald Reuel Tolkien	1954	187813	Sauron	Frodo Baggins	Frodo/Frodo Baggins, Sauron/Dark Lord, Gollum, Gandalf/Wizard, Aragorn, Legolas, Gimli, Samwise Gamgee/Sam, Pippin Took	Frodo - Sauron, Frodo - Gollum, Sauron / Gollum, Sauron - Gandalf, Frodo + Gandalf, Frodo + Aragorn, Frodo + Legolas, Frodo + Gimli, Frodo + Samwise Gamgee, Frodo + Pippin Took	
gatsby.txt	english	The Great Gatsby	Francis Scott Key Fitzgerald	1925	48189	Tom Buchanan	Jay Gatsby	Jay Gatsby, Nick Carraway, Tom Buchanan, Daisy Buchanan, Jordan Baker, Myrtle Wilson, George Wilson	Nick Carraway - Jay Gatsby, Jay Gatsby + Daisy Buchanan, Daisy Buchanan + Tom Buchanan, Tom Buchanan - Jay Gatsby, Tom Buchanan + Myrtle Wilson, Jay Gatsby - Myrtle Wilson
